Time (s),Source voltage (V),Load voltage (V),Curr sense voltage (V),Current (mA)
0.02712273597717285,0.004375,0.459125,0.0045000000000000005,45.00000000000001
0.25557398796081543,0.45475,0.45925,0.0045000000000000005,45.00000000000001
0.4840059280395508,0.45487500000000003,0.45937500000000003,0.0045000000000000005,45.00000000000001
0.7149019241333008,0.4545,0.459125,0.0045000000000000005,45.00000000000001
0.9470438957214355,0.45437500000000003,0.45887500000000003,0.0045000000000000005,45.00000000000001
1.1790473461151123,0.454625,0.459,0.004375,43.75000000000001
1.407550573348999,0.45437500000000003,0.459,0.0045000000000000005,45.00000000000001
1.6359994411468506,0.454625,0.459,0.0045000000000000005,45.00000000000001
1.8645193576812744,0.454625,0.459125,0.004375,43.75000000000001
2.093050003051758,0.454625,0.45937500000000003,0.0045000000000000005,45.00000000000001
2.321516990661621,0.454625,0.459,0.004375,43.75000000000001
2.5510287284851074,0.454625,0.459,0.0045000000000000005,45.00000000000001
2.779942512512207,0.454625,0.459,0.004375,43.75000000000001
3.0082857608795166,0.454625,0.459,0.004375,43.75000000000001
3.23659348487854,0.45437500000000003,0.45887500000000003,0.0045000000000000005,45.00000000000001
3.4649224281311035,0.454625,0.459125,0.0045000000000000005,45.00000000000001
3.6932756900787354,0.45475,0.45925,0.004375,43.75000000000001
3.9216880798339844,0.45487500000000003,0.45925,0.0045000000000000005,45.00000000000001
4.150038242340088,0.455,0.4595,0.004375,43.75000000000001
4.378459453582764,0.45487500000000003,0.45937500000000003,0.0045000000000000005,45.00000000000001
4.6068503856658936,0.45475,0.45925,0.0045000000000000005,45.00000000000001
4.837252140045166,0.45475,0.459125,0.0045000000000000005,45.00000000000001
5.065301179885864,0.45475,0.45925,0.0045000000000000005,45.00000000000001
5.294025421142578,0.454625,0.45925,0.0045000000000000005,45.00000000000001
5.541188955307007,0.45475,0.45937500000000003,0.004375,43.75000000000001
5.770381212234497,0.45437500000000003,0.45887500000000003,0.0045000000000000005,45.00000000000001
5.998521566390991,0.4545,0.45887500000000003,0.0045000000000000005,45.00000000000001
6.226638317108154,0.45437500000000003,0.45887500000000003,0.004375,43.75000000000001
6.455375671386719,0.454625,0.459,0.0045000000000000005,45.00000000000001
6.683887243270874,0.45487500000000003,0.45937500000000003,0.004375,43.75000000000001
6.911977529525757,0.45475,0.45925,0.004375,43.75000000000001
7.140099763870239,0.45475,0.45925,0.004375,43.75000000000001
7.369184732437134,0.454625,0.459,0.0045000000000000005,45.00000000000001
7.5972700119018555,0.4545,0.45887500000000003,0.004375,43.75000000000001
7.826376914978027,0.45425,0.45887500000000003,0.004375,43.75000000000001
8.054611206054688,0.45425,0.4585,0.0045000000000000005,45.00000000000001
8.283858060836792,0.45437500000000003,0.45875,0.004375,43.75000000000001
8.512551069259644,0.45425,0.458625,0.0045000000000000005,45.00000000000001
8.74121904373169,0.45425,0.45887500000000003,0.0045000000000000005,45.00000000000001
8.970576286315918,0.455,0.45925,0.004375,43.75000000000001
9.199281454086304,0.45487500000000003,0.459125,0.0045000000000000005,45.00000000000001
9.427974462509155,0.454625,0.459125,0.0045000000000000005,45.00000000000001
9.65738821029663,0.45425,0.45875,0.0045000000000000005,45.00000000000001
9.886003255844116,0.45437500000000003,0.458625,0.004375,43.75000000000001
10.114208698272705,0.454625,0.45887500000000003,0.004375,43.75000000000001
10.342641592025757,0.45475,0.45925,0.0045000000000000005,45.00000000000001
10.570768356323242,0.45425,0.458625,0.0045000000000000005,45.00000000000001
10.80017375946045,0.45475,0.45887500000000003,0.004375,43.75000000000001
11.028522491455078,0.45475,0.45925,0.004375,43.75000000000001
11.256635189056396,0.454625,0.459,0.0045000000000000005,45.00000000000001
11.485894203186035,0.454625,0.459,0.004375,43.75000000000001
11.71465253829956,0.45475,0.459,0.0045000000000000005,45.00000000000001
11.9427969455719,0.454625,0.45925,0.0045000000000000005,45.00000000000001
12.171222925186157,0.45475,0.45925,0.004375,43.75000000000001
