Time (s),Source voltage (V),Load voltage (V),Curr sense voltage (V),Current (mA)
0.02720785140991211,0.002375,0.23500000000000001,0.002375,23.749999999999996
0.25571656227111816,0.232125,0.234625,0.002375,23.749999999999996
0.4839510917663574,0.232125,0.23450000000000001,0.002375,23.749999999999996
0.7123198509216309,0.232375,0.234625,0.002375,23.749999999999996
0.9408187866210938,0.232625,0.234625,0.002375,23.749999999999996
1.1693527698516846,0.23225,0.23450000000000001,0.002375,23.749999999999996
1.3977947235107422,0.232125,0.234375,0.002375,23.749999999999996
1.6257705688476562,0.232125,0.23425,0.002375,23.749999999999996
1.8542883396148682,0.232,0.234375,0.002375,23.749999999999996
2.0827524662017822,0.231875,0.234375,0.002375,23.749999999999996
2.311230182647705,0.231375,0.234125,0.002375,23.749999999999996
2.5397002696990967,0.232125,0.234125,0.002375,23.749999999999996
2.7695305347442627,0.232,0.23450000000000001,0.002375,23.749999999999996
2.998103618621826,0.231875,0.234125,0.002375,23.749999999999996
3.22655987739563,0.23175,0.234125,0.002375,23.749999999999996
3.454982280731201,0.231875,0.234125,0.002375,23.749999999999996
3.683502674102783,0.232,0.23425,0.002375,23.749999999999996
3.9119670391082764,0.23175,0.23425,0.002375,23.749999999999996
4.140016555786133,0.232,0.23425,0.002375,23.749999999999996
4.368555307388306,0.23175,0.23425,0.002375,23.749999999999996
4.596968173980713,0.231875,0.234125,0.0022500000000000003,22.500000000000004
4.825429677963257,0.2315,0.234125,0.002375,23.749999999999996
5.053513526916504,0.231875,0.234,0.002375,23.749999999999996
5.28171968460083,0.23175,0.234,0.002375,23.749999999999996
5.525985240936279,0.231625,0.234,0.002375,23.749999999999996
5.754128694534302,0.23175,0.234125,0.002375,23.749999999999996
5.9822633266448975,0.231875,0.23425,0.002375,23.749999999999996
6.21044659614563,0.2315,0.233875,0.002375,23.749999999999996
6.43944787979126,0.2325,0.234625,0.002375,23.749999999999996
6.667518138885498,0.23225,0.234375,0.002375,23.749999999999996
6.896560430526733,0.232125,0.234375,0.002375,23.749999999999996
