Time (s),Source voltage (V),Load voltage (V),Curr sense voltage (V),Current (mA)
0.027159690856933594,0.004125,0.40950000000000003,0.004,40.0
0.25507497787475586,0.405375,0.40950000000000003,0.004,40.0
0.483339786529541,0.4055,0.40950000000000003,0.004,40.0
0.7117338180541992,0.405625,0.409625,0.004,40.0
0.9396953582763672,0.405375,0.409375,0.004,40.0
1.1677460670471191,0.40575,0.40975,0.004,40.0
1.3964147567749023,0.4055,0.40950000000000003,0.004,40.0
1.6250643730163574,0.40525,0.409375,0.004,40.0
1.8535284996032715,0.405125,0.40925,0.004,40.0
2.0819644927978516,0.40525,0.409125,0.004,40.0
2.3104429244995117,0.40525,0.409125,0.004,40.0
2.538940191268921,0.405,0.40900000000000003,0.004,40.0
2.766791820526123,0.40475,0.408875,0.004,40.0
2.9950027465820312,0.405,0.40900000000000003,0.004,40.0
3.223402500152588,0.405125,0.40925,0.004,40.0
3.4517951011657715,0.405375,0.409375,0.004,40.0
3.680285692214966,0.40525,0.40925,0.004,40.0
3.908193349838257,0.4055,0.409375,0.004,40.0
4.136569261550903,0.405375,0.40950000000000003,0.004,40.0
4.3650336265563965,0.405375,0.409375,0.004,40.0
4.593451976776123,0.405125,0.40925,0.004,40.0
4.821969032287598,0.405,0.409125,0.004,40.0
5.050686359405518,0.405625,0.409625,0.004,40.0
5.278898239135742,0.4055,0.409625,0.004125,41.25
5.5241827964782715,0.405375,0.409375,0.004,40.0
5.753697395324707,0.405375,0.40950000000000003,0.004,40.0
5.981880187988281,0.405375,0.409375,0.004,40.0
6.210322618484497,0.400375,0.40425,0.004,40.0
6.438396215438843,0.401875,0.406,0.004,40.0
6.667035341262817,0.40175,0.4055,0.004,40.0
6.895903825759888,0.402125,0.405875,0.004,40.0
7.124692678451538,0.40225,0.406375,0.004,40.0
7.353353023529053,0.402125,0.406375,0.004,40.0
7.582093238830566,0.40175,0.40575,0.004,40.0
7.810784339904785,0.401875,0.40575,0.004,40.0
8.03956651687622,0.401625,0.40575,0.004,40.0
8.267701387405396,0.401875,0.406,0.004,40.0
8.496974229812622,0.402125,0.406,0.004,40.0
8.7250235080719,0.402,0.405875,0.004,40.0
8.95333456993103,0.402375,0.406375,0.004,40.0
9.181541442871094,0.402,0.40575,0.004,40.0
9.409843921661377,0.402,0.406,0.004,40.0
